Destination ID,Attraction,Hotel Name,Location,Review (short),Rating (approx.),Price,Province
1,Mount Everest (Sagarmatha NP),Hotel Everest View,Syangboche / near Namche Bazaar (Khumbu),Historic high-altitude hotel with outstanding Everest panoramas; popular with trekkers.,4,Low (~$10–20),1
1,Mount Everest (Sagarmatha NP),Everest View Lodge,Namche Bazaar,Well-known guesthouse in Namche with terrace views and good food.,3.8,Medium (~$35–60),1
1,Mount Everest (Sagarmatha NP),Mountain Lodges of Nepal - Namche,Namche Bazaar,"Branded mountain-lodge, reliable service and hot showers (trekker favourite).",4.1,High (~$90+),1
2,Dantakali Temple (Dharan),Hotel Gajur Palace,Dharan (near Dantakali),Popular mid-range option in Dharan; convenient for temple visits and markets.,4,Low (~$10–20),1
2,Dantakali Temple (Dharan),Hotel Nava Yug,Dharan,Budget to mid-range local hotel used by pilgrims and domestic tourists.,3.7,Medium (~$35–60),1
2,Dantakali Temple (Dharan),Hotel Ambassador / The Ambassador (Dharan),Dharan,"Larger, better-known property in Dharan with consistent services.",4.2,High (~$90+),1
3,Koshi Tappu Wildlife Reserve,Aqua Birds Eco Resort (or local eco-lodge listings),Near Koshi Tappu (Koshi floodplain / Itahari region),Eco-style lodging aimed at birdwatchers; good for reserve access.,4,Low (~$10–20),1
3,Koshi Tappu Wildlife Reserve,Guru Hotel & Lodge (Itahari),Itahari (regional hub for the reserve),Practical base in Itahari for transfers to the reserve; decent mid-range option.,4.1,Medium (~$35–60),1
3,Koshi Tappu Wildlife Reserve,Soaltee Westend Itahari (regional / upscale option),Itahari,Upscale regional hotel used by some visitors to the area and tour groups.,4,High (~$90+),1
4,Ilām Tea Gardens (Ilam / Antu / Kanyam),Habre’s Nest (Habre's Nest / Ilam listings),Ilam town / tea-garden area,Guesthouse set close to tea gardens; good for scenic walks and tea trails.,4.1,Low (~$10–20),1
4,Ilām Tea Gardens (Ilam / Antu / Kanyam),Antu Cottage,Shree Antu / Antu sunrise viewpoint (Ilam),Cottage-style stay near the Antu sunrise viewpoint and tea trails.,3.9,Medium (~$35–60),1
4,Ilām Tea Gardens (Ilam / Antu / Kanyam),The Paradise Cottages Pvt. Ltd.,Ilam outskirts / tea-garden area,"Cottage complex among tea estates — comfy, favored by small groups.",4,High (~$90+),1
5,Bhedetar,TEC Resort & Bar (Tec Resort),Bhedetar (hill-station near Dharan),"One of the top-rated weekend stays in Bhedetar — bonfires, views, casual food.",4,Low (~$10–20),1
5,Bhedetar,Namaste Resort (Bhedetar / nearby),Bhedetar area,Small resort with valley views and simple amenities; popular with families.,4.1,Medium (~$35–60),1
5,Bhedetar,Paul’s Hotel / Pauls Hotel (local listing),Bhedetar,Family-run hotel used by domestic visitors and weekenders.,3.7,High (~$90+),1
6,Limbu Villages (Taplejung / Sinam / Phurumbu & Limbu homestay areas),Sinam Village Homestay / Sinam Homestay collective,Sinam (Taplejung district),"Community homestay in a Limbu village — cultural immersion, traditional meals.",4,Low (~$10–20),1
